date,state,district,bio_age_5_17,bio_age_17_,total_bio,total_bio_lag_7,total_bio_lag_14,total_bio_roll_mean_7,total_bio_roll_mean_30,total_bio_roll_std_30,capacity_ratio,risk_level,z_score,is_anomaly_z,is_anomaly_if,day,month,weekday,year
2025-03-01,Andaman & Nicobar Islands,Andamans,16,193,209,,,209.0,209.0,0.0,0.9952380952380953,Low,0.0,0,0,1,3,5,2025
2025-04-01,Andaman & Nicobar Islands,Andamans,17,167,184,,,196.5,196.5,17.67766952966369,0.9316455696202531,Low,-0.6692483759897145,0,0,1,4,1,2025
2025-05-01,Andaman & Nicobar Islands,Andamans,22,158,180,,,191.0,191.0,15.716233645501712,0.9375,Low,-0.658042967888288,0,0,1,5,3,2025
2025-06-01,Andaman & Nicobar Islands,Andamans,11,129,140,,,178.25,178.25,28.546745290254485,0.7810320781032078,Low,-1.2945588295512245,0,0,1,6,6,2025
2025-07-01,Andaman & Nicobar Islands,Andamans,20,239,259,,,194.4,194.4,43.76414057193401,1.3254861821903787,High,1.4431194070662572,0,0,1,7,1,2025
2025-09-01,Andaman & Nicobar Islands,Andamans,3,18,21,,,165.5,165.5,80.8919031794901,0.12612612612612611,Low,-1.7645212089318025,0,0,1,9,0,2025
2025-09-02,Andaman & Nicobar Islands,Andamans,3,21,24,,,145.28571428571428,145.28571428571428,91.1769603312048,0.1640625,Low,-1.3157920791694326,0,0,2,9,1,2025
2025-09-03,Andaman & Nicobar Islands,Andamans,3,19,22,209.0,,118.57142857142857,129.875,95.00291348915869,0.16809933142311365,Low,-1.1236638147672673,0,0,3,9,2,2025
2025-09-04,Andaman & Nicobar Islands,Andamans,3,9,12,184.0,,94.0,116.77777777777777,97.16580902994862,0.1018867924528302,Low,-1.0673551088018025,0,0,4,9,3,2025
2025-09-05,Andaman & Nicobar Islands,Andamans,2,14,16,180.0,,70.57142857142857,106.7,96.99375695831607,0.14856081708449395,Low,-0.9255691670090919,0,0,5,9,4,2025
2025-09-06,Andaman & Nicobar Islands,Andamans,1,0,1,140.0,,50.714285714285715,97.0909090909091,97.37910920259492,0.010194624652455977,Low,-0.9767409958248995,0,0,6,9,5,2025
2025-09-08,Andaman & Nicobar Islands,Andamans,4,17,21,259.0,,16.714285714285715,90.75,95.41023863487416,0.22888283378746593,Low,-0.7234708780688524,0,0,8,9,0,2025
2025-09-09,Andaman & Nicobar Islands,Andamans,9,22,31,21.0,,18.142857142857142,86.15384615384616,92.83932908870585,0.3556928508384819,Low,-0.5877476607032165,0,0,9,9,1,2025
2025-09-10,Andaman & Nicobar Islands,Andamans,9,14,23,24.0,,18.0,81.64285714285714,90.78004452255178,0.2783059636992221,Low,-0.6389499748874896,0,0,10,9,2,2025
2025-09-11,Andaman & Nicobar Islands,Andamans,4,13,17,22.0,209.0,17.285714285714285,77.33333333333333,89.05589470075735,0.2170212765957447,Low,-0.6699542937618046,0,0,11,9,3,2025
2025-09-12,Andaman & Nicobar Islands,Andamans,11,12,23,12.0,184.0,18.857142857142858,73.9375,87.10183216595772,0.30692243536280234,Low,-0.5781661827877639,0,0,12,9,4,2025
2025-09-13,Andaman & Nicobar Islands,Andamans,0,4,4,16.0,180.0,17.142857142857142,69.82352941176471,86.02487670299044,0.05647840531561461,Low,-0.7563760146011539,0,0,13,9,5,2025
2025-09-15,Andaman & Nicobar Islands,Andamans,7,22,29,1.0,140.0,21.142857142857142,67.55555555555556,84.00925874899478,0.42301458670988656,Low,-0.45354536815098945,0,0,15,9,0,2025
2025-09-16,Andaman & Nicobar Islands,Andamans,4,6,10,21.0,259.0,19.571428571428573,64.52631578947368,82.70319651289358,0.15261044176706828,Low,-0.6514245340806607,0,0,16,9,1,2025
2025-09-17,Andaman & Nicobar Islands,Andamans,4,5,9,31.0,21.0,16.428571428571427,61.75,81.44929000369042,0.14342629482071714,Low,-0.639787195227987,0,0,17,9,2,2025
2025-09-18,Andaman & Nicobar Islands,Andamans,6,22,28,23.0,24.0,17.142857142857142,60.142857142857146,79.72784062940983,0.45794392523364486,Low,-0.3981632221579235,0,0,18,9,3,2025
2025-09-19,Andaman & Nicobar Islands,Andamans,2,18,20,17.0,22.0,17.571428571428573,58.31818181818182,78.27569492239859,0.3371647509578544,Low,-0.4833534648380028,0,0,19,9,4,2025
2025-09-20,Andaman & Nicobar Islands,Andamans,1,5,6,23.0,12.0,15.142857142857142,56.04347826086956,77.25017108593562,0.1051829268292683,Low,-0.6395318702359257,0,0,20,9,5,2025
2025-10-15,Andaman & Nicobar Islands,Andamans,4,11,15,4.0,16.0,16.714285714285715,54.333333333333336,76.01525399931063,0.2710843373493976,Low,-0.5107213349408081,0,0,15,10,2,2025
2025-10-16,Andaman & Nicobar Islands,Andamans,1,14,15,29.0,1.0,14.714285714285714,52.76,74.82940598454594,0.27901785714285715,Low,-0.4979598548839417,0,0,16,10,3,2025
2025-10-17,Andaman & Nicobar Islands,Andamans,3,7,10,10.0,21.0,14.714285714285714,51.11538461538461,73.79557001505005,0.1918819188191882,Low,-0.5497034731751032,0,0,17,10,4,2025
2025-10-18,Andaman & Nicobar Islands,Andamans,3,9,12,9.0,31.0,15.142857142857142,49.666666666666664,72.75300681071539,0.2368421052631579,Low,-0.5107136413209145,0,0,18,10,5,2025
2025-10-19,Andaman & Nicobar Islands,Andamans,1,3,4,28.0,23.0,11.714285714285714,48.035714285714285,71.91274658704896,0.08157319737800438,Low,-0.6039508364033578,0,0,19,10,6,2025
2025-10-21,Andaman & Nicobar Islands,Andamans,0,2,2,20.0,17.0,9.142857142857142,46.44827586206897,71.13246506488368,0.04215116279069767,Low,-0.6162034781715476,0,0,21,10,1,2025
2025-10-23,Andaman & Nicobar Islands,Andamans,0,2,2,6.0,23.0,8.571428571428571,44.96666666666667,70.36480474730557,0.0435097897026831,Low,-0.6020708221483491,0,0,23,10,3,2025
