state,district,pincode,total_bio_5_17,total_bio_17,total_updates
Andaman & Nicobar Islands,Andamans,744101,177,1147,1324
Andaman & Nicobar Islands,Andamans,744102,0,1,1
Andaman & Nicobar Islands,Andamans,744103,63,152,215
Andaman & Nicobar Islands,Andamans,744105,43,157,200
Andaman & Nicobar Islands,Andamans,744106,37,125,162
Andaman & Nicobar Islands,Andamans,744107,6,33,39
Andaman & Nicobar Islands,Andamans,744112,15,24,39
Andaman & Nicobar Islands,Andamans,744202,0,3,3
Andaman & Nicobar Islands,Andamans,744206,2,24,26
Andaman & Nicobar Islands,Andamans,744207,0,4,4
Andaman & Nicobar Islands,Andamans,744209,0,1,1
Andaman & Nicobar Islands,Andamans,744211,0,1,1
Andaman & Nicobar Islands,Nicobar,744301,330,402,732
Andaman & Nicobar Islands,Nicobar,744302,196,108,304
Andaman & Nicobar Islands,Nicobar,744303,386,251,637
Andaman & Nicobar Islands,Nicobar,744304,80,58,138
Andaman & Nicobar Islands,Nicobars,744301,1,1,2
Andaman & Nicobar Islands,North And Middle Andaman,744201,500,361,861
Andaman & Nicobar Islands,North And Middle Andaman,744202,1452,1020,2472
Andaman & Nicobar Islands,North And Middle Andaman,744203,11,9,20
Andaman & Nicobar Islands,North And Middle Andaman,744204,606,479,1085
Andaman & Nicobar Islands,North And Middle Andaman,744205,813,449,1262
Andaman & Nicobar Islands,North And Middle Andaman,744209,243,154,397
Andaman & Nicobar Islands,North And Middle Andaman,744210,155,131,286
Andaman & Nicobar Islands,South Andaman,744101,1038,546,1584
Andaman & Nicobar Islands,South Andaman,744102,353,233,586
Andaman & Nicobar Islands,South Andaman,744103,1310,751,2061
Andaman & Nicobar Islands,South Andaman,744104,55,38,93
Andaman & Nicobar Islands,South Andaman,744105,1435,876,2311
Andaman & Nicobar Islands,South Andaman,744106,357,228,585
Andaman & Nicobar Islands,South Andaman,744107,524,242,766
Andaman & Nicobar Islands,South Andaman,744112,96,60,156
Andaman & Nicobar Islands,South Andaman,744206,475,328,803
Andaman & Nicobar Islands,South Andaman,744207,854,383,1237
Andaman & Nicobar Islands,South Andaman,744210,0,2,2
Andaman & Nicobar Islands,South Andaman,744211,193,110,303
Andhra Pradesh,Adilabad,504001,813,2817,3630
Andhra Pradesh,Adilabad,504101,142,231,373
Andhra Pradesh,Adilabad,504102,220,461,681
Andhra Pradesh,Adilabad,504103,661,1538,2199
Andhra Pradesh,Adilabad,504104,78,189,267
Andhra Pradesh,Adilabad,504105,106,224,330
Andhra Pradesh,Adilabad,504106,429,1063,1492
Andhra Pradesh,Adilabad,504109,218,486,704
Andhra Pradesh,Adilabad,504110,11,40,51
Andhra Pradesh,Adilabad,504201,361,928,1289
Andhra Pradesh,Adilabad,504202,1,3,4
Andhra Pradesh,Adilabad,504203,386,605,991
Andhra Pradesh,Adilabad,504204,222,754,976
Andhra Pradesh,Adilabad,504205,230,736,966
Andhra Pradesh,Adilabad,504206,182,534,716
Andhra Pradesh,Adilabad,504207,224,591,815
Andhra Pradesh,Adilabad,504208,465,947,1412
Andhra Pradesh,Adilabad,504209,85,153,238
Andhra Pradesh,Adilabad,504214,205,1021,1226
Andhra Pradesh,Adilabad,504215,292,810,1102
Andhra Pradesh,Adilabad,504216,160,358,518
Andhra Pradesh,Adilabad,504218,29,49,78
Andhra Pradesh,Adilabad,504219,277,1780,2057
Andhra Pradesh,Adilabad,504220,8,34,42
Andhra Pradesh,Adilabad,504231,247,702,949
Andhra Pradesh,Adilabad,504251,401,1867,2268
Andhra Pradesh,Adilabad,504272,138,505,643
